Image,Identifier,Title,Tot_value,Data,Rank
"https://m.media-amazon.com/images/M/MV5BYTc2ZGYxZWMtYmMzMS00ZTY2LTk1NzctMjVlZGI5NDUwYzNlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX1000_CR0,52,1000,563_.jpg",S1.E1,When You're Lost in the Darkness,110168,16/01/2023,9.1
"https://m.media-amazon.com/images/M/MV5BMGMwMjlmZGYtMWIxMC00NDk4LTgwYzYtMWJmYWYyM2MxZmZlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX1000_CR0,52,1000,563_.jpg",S1.E2,Infected,101252,22/01/2023,9.1
"https://m.media-amazon.com/images/M/MV5BZjY1OTk5NjUtNzA3YS00OWJmLTk3ZjUtOGZkYTY5YmVhMjIyXkEyXkFqcGdeQXVyNjUyMTI1NzM@._V1_QL75_UX1000_CR0,0,1000,563_.jpg",S1.E3,"Long, Long Time",224852,29/01/2023,8.1
"https://m.media-amazon.com/images/M/MV5BZGY0MTdkMzAtODIyOS00YWEwLWI0MjUtNTBiMDk3MDk5MTdmXkEyXkFqcGdeQXVyMTU1MjUxMTk3._V1_QL75_UX1000_CR0,52,1000,563_.jpg",S1.E4,Please Hold to My Hand,68086,05/02/2023,8.4
"https://m.media-amazon.com/images/M/MV5BMTYzZTY1YjgtMzc0ZC00ODg2LWEwZGUtYjQ5OTgyYjMxMzM4XkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_QL75_UX1000_CR0,52,1000,563_.jpg",S1.E5,Endure and Survive,77931,10/02/2023,9.4
"https://m.media-amazon.com/images/M/MV5BNjNmNDFkNzktZDUwZS00NWJkLWE5NmYtOWNkMWNmNmI3YmUwXkEyXkFqcGdeQXVyNjk1NzU1Mjk@._V1_QL75_UX1000_CR0,52,1000,563_.jpg",S1.E6,Kin,56669,19/02/2023,8.8
"https://m.media-amazon.com/images/M/MV5BNmVkOWE5N2MtYjU3ZC00NWQ1LTlmNjAtZTMxOWY5ZGYxOWZmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX1000_CR0,52,1000,563_.jpg",S1.E7,Left Behind,67041,26/02/2023,7.4
"https://m.media-amazon.com/images/M/MV5BZDUzY2UxMjAtNzUwMS00N2UxLWIyOWMtMGMxYzQ2Mjc4M2Y0XkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_QL75_UX1000_CR0,52,1000,563_.jpg",S1.E8,When We Are in Need,57178,05/03/2023,9.3
"https://m.media-amazon.com/images/M/MV5BM2VlNTIwYmEtOGEyNS00Yjc0LThmZDctMzNkNTM5NjRiYjExXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_QL75_UX1000_CR0,52,1000,563_.jpg",S1.E9,Look for the Light,43690,12/03/2023,9.0
